char,freq,len
下次再去,5224,4
棒棒的,5205,3
服务特别好,5197,5
服务很热情,5173,5
菜品多,5171,3
经常光顾,5157,4
还会再去的,5009,5
好好好,4974,3
菜量足,4971,3
第二次去了,4944,5
超赞,4885,2
等位,4847,2
品种多,4816,3
值得购买,4792,4
味道好极了,4774,5
不会再去了,4774,5
服务很到位,4760,5
挺满意,4651,3
很干净,4631,3
价格适中,4623,4
真的很不错,4621,5
口感很好,4590,4
食材新鲜,4586,4
人餐,4585,2
菜品很多,4580,4
环境还好,4548,4
价格合理,4543,4
吃的很饱,4541,4
孩子很喜欢,4527,5
价格优惠,4505,4
位置也好找,4501,5
好喝,4472,2
新鲜,4393,2
菜品还可以,4366,5
地方好找,4364,4
值得去,4351,3
交通方便,4289,4
味道正宗,4280,4
蛮好的,4271,3
次了,4271,2
还是不错的,4241,5
真的不错,4226,4
服务差,4218,3
很一般,4194,3
价格也实惠,4181,5
很好喝,4180,3
太好吃了,4169,4
金的时候,4166,4
人多,4158,2
有点小贵,4146,4
上菜慢,4141,3
品种丰富,4128,4
我们,4112,2
价格也不贵,4109,5
超好吃,4099,3
真的很好吃,4091,5
团购划算,4039,4
菜品很好,4030,4
味道还行吧,4019,5
比较实惠,4017,4
服务可以,3988,4
总体还不错,3966,5
地方很好找,3956,5
菜品好,3952,3
不推荐,3905,3
挺划算,3887,3
还不错哦,3859,4
服务还不错,3859,5
嘿嘿,3857,2
美味,3823,2
回头客,3823,3
菜品少,3808,3
蛮好吃,3767,3
服务也可以,3767,5
离家很近,3734,4
环境干净,3712,4
蛋糕很漂亮,3708,5
性价比不高,3702,5
超值,3701,2
第一次吃,3694,4
停车方便,3687,4
价格不贵,3645,4
老客户了,3644,4
味道一般吧,3620,5
口感好,3617,3
菜量很足,3613,4
环境舒适,3593,4
推荐推荐,3592,4
服务态度差,3589,5
速度快,3586,3
菜品也不错,3556,5
可以的,3549,3
东西很好吃,3549,5
很不错哦,3543,4
味道鲜美,3540,4
很好找,3498,3
个人,3495,2
很漂亮,3435,3
很开心,3432,3
块钱,3410,2
分量也足,3403,4
没吃完,3381,3
大爱,3340,2
三文鱼,3305,3
分量也很足,3303,5
服务不好,3299,4
牛排,3289,2
其他还好,3278,4
量很大,3275,3
人挺多的,3210,4
超级棒,3178,3
价格公道,3168,4
大赞,3152,2
菜不错,3151,3
总体还可以,3125,5
孩子喜欢,3121,4
性价比超高,3118,5
有点贵,3112,3
味道很一般,3105,5
口味可以,3105,4
非常实惠,3099,4
以后还会来,3083,5
很有耐心,3076,4
味道很好吃,3071,5
价格很实惠,3065,5
不好,3064,2
我很喜欢,3049,4
味道特别好,3040,5
价格偏贵,3023,4
也很好吃,3022,4
味道棒棒哒,3021,5
味道好吃,3011,4
蛋糕不错,3009,4
很便宜,3006,3
人少,3005,2
感觉还可以,2982,5
菜量大,2974,3
不错的选择,2958,5
很专业,2955,3
上菜也快,2947,4
分钟,2947,2
速度很快,2939,4
服务也挺好,2933,5
东西好吃,2929,4
很舒服,2921,3
加油,2918,2
很安静,2917,3
便宜实惠,2917,4
希望改进,2916,4
太棒了,2897,3
很贴心,2879,3
量也足,2875,3
很喜欢吃,2874,4
价廉物美,2869,4
物超所值,2858,4
不错啊,2854,3
价格合适,2816,4
还会去的,2804,4
菜品,2798,2
难吃,2790,2
热情,2784,2
以后还会去,2782,5
但是,2778,2
味道不错哦,2768,5
中午去的,2761,4
吃的很开心,2761,5
老顾客,2739,3
说实话,2738,3
值得一试,2734,4
强力推荐,2726,4
吃的饱饱的,2723,5
菜品很新鲜,2719,5
团购的,2717,3
量也很足,2702,4
总体还行,2692,4
五星好评,2671,4
人不是很多,2669,5
口味挺好,2665,4
吃不完,2656,3
哈哈哈哈,2644,4
挺喜欢,2629,3
整体不错,2627,4
特别棒,2626,3
祝生意兴隆,2625,5
就是有点贵,2621,5
安静,2597,2
经常买,2593,3
嘻嘻,2586,2
物有所值,2557,4
喜欢吃,2539,3
价格贵,2522,3
卫生,2507,2
个赞,2504,2
我喜欢,2497,3
感觉很好,2494,4
下次继续,2493,4
服务还好,2487,4
效果不错,2480,4
菜很好吃,2476,4
不新鲜,2464,3
老板热情,2463,4
给个赞,2460,3
确实不错,2457,4
效果很好,2451,4
蛋糕,2450,2
味道赞,2448,3
值得品尝,2438,4
很美味,2437,3
不会再去,2437,4
特别喜欢,2433,4
服务很不错,2426,5
总体来说,2425,4
菜品还不错,2397,5
有点失望,2391,4
态度也很好,2366,5
非常感谢,2361,4
都不错,2355,3
不过,2345,2
支持,2335,2
不是很好吃,2328,5
菜还可以,2328,4
去过几次了,2324,5
菜品还行,2322,4
个字,2312,2
很好吃哦,2310,4
第一次去吃,2306,5
老板人不错,2297,5
怎么说呢,2294,4
点个赞,2289,3
味道巴适,2273,4
环境也挺好,2272,5
口味很不错,2262,5
比较满意,2258,4
不怎么样,2247,4
还会去,2245,3
人比较多,2239,4
环境不好,2239,4
人太多,2238,3
冰淇淋,2225,3
性价比不错,2224,5
推荐给大家,2221,5
金针菇,2212,3
味道也一般,2207,5
菜品可以,2201,4
量少,2199,2
菜品不多,2196,4
交通便利,2194,4
菜品齐全,2191,4
感觉一般,2183,4
位置好,2182,3
环境特别好,2178,5
去了很多次,2177,5
牛肉,2173,2
上菜也很快,2173,5
地方也好找,2166,5
份量也足,2162,4
服务一流,2157,4
不腻,2156,2
回头客了,2153,4
感觉很不错,2152,5
很好很好,2142,4
即能赚积分,2139,5
一如既往,2137,4
值得再去,2128,4
菜品挺多,2128,4
推荐一下,2123,4
很有特色,2122,4
上菜有点慢,2117,5
五花肉,2114,3
不贵,2112,2
老板很好,2107,4
质量很好,2097,4
真的很好,2086,4
值得信赖,2083,4
色香味俱全,2072,5
质量不错,2068,4
烤鱼,2068,2
量多,2064,2
个人吃,2061,3
菜品很丰富,2055,5
失望,2054,2
生意很好,2051,4
肥牛,2046,2
种类多,2040,3
我也是醉了,2036,5
非常划算,2036,4
第二次买了,2034,5
也很实惠,2029,4
吃得很饱,2028,4
环境很棒,2027,4
品种很多,2025,4
感觉挺好,1995,4
第二次来,1994,4
人太多了,1991,4
味道棒棒的,1990,5
海鲜很新鲜,1990,5
超级喜欢,1990,4
服务太差,1989,4
环境一般般,1984,5
值得再来,1982,4
还有,1980,2
菜味道不错,1979,5
下次还要去,1962,5
好吧,1956,2
味道也还行,1946,5
蛋糕好吃,1944,4
东西很多,1942,4
分量少,1939,3
水果,1925,2
菜量很大,1923,4
下次还要来,1920,5
还会来的,1920,4
不怎么好吃,1920,5
太难吃了,1914,4
很细心,1912,3
很好看,1912,3
就在家门口,1911,5
口味也很好,1911,5
经常去的,1910,4
还会光顾,1905,4
去了几次了,1897,5
就那样吧,1897,4
分享图片,1895,4
真不错,1893,3
其他都还好,1893,5
总体满意,1890,4
还会来,1883,3
店面不大,1878,4
价格小贵,1873,4
很香,1873,2
吃了很多次,1865,5
无语,1861,2
人均,1851,2
菜品太少,1850,4
没有之一,1849,4
种类很多,1846,4
味道不好,1832,4
团购很实惠,1832,5
真的,1831,2
超级赞,1829,3
都挺好的,1826,4
人也不多,1819,4
味道很正宗,1818,5
套餐,1813,2
完美,1812,2
方便快捷,1808,4
服务很棒,1808,4
送货上门,1803,4
特别满意,1803,4
价格也便宜,1803,5
东西还不错,1799,5
太差了,1793,3
卫生干净,1793,4
的套餐,1786,3
还是不错,1785,4
么么哒,1780,3
味道超赞,1779,4
超级划算,1764,4
水果很新鲜,1761,5
很失望,1753,3
美美哒,1751,3
菜很多,1750,3
整体还不错,1748,5
冰激凌,1748,3
常客了,1747,3
汤很好喝,1746,4
来了很多次,1745,5
朋友很喜欢,1743,5
人很少,1738,3
有点咸,1737,3
好好,1728,2
水果新鲜,1726,4
垃圾,1725,2
比较划算,1724,4
第二次吃了,1719,5
好吃实惠,1709,4
价格偏高,1708,4
感谢,1706,2
环境差,1702,3
不需要排队,1697,5
以后还来,1687,4
团的,1687,2
口味一般般,1686,5
很好啊,1681,3
不喜欢,1680,3
性价比较高,1679,5
吃了,1679,2
都很好,1677,3
来过几次了,1673,5
口味还好,1667,4
会再来,1663,3
份量也很足,1644,5
孩子喜欢吃,1636,5
东西还可以,1632,5
继续支持,1626,4
有特色,1625,3
点了,1622,2
其他都不错,1619,5
超级好,1618,3
味道很正,1607,4
就是,1601,2
多次购买了,1595,5
两个人,1589,3
挺干净,1583,3
经常过来吃,1580,5
团购,1579,2
可以可以,1578,4
味道超级棒,1576,5
个菜,1575,2
还是可以的,1567,5
服务一般般,1567,5
吃过几次了,1564,5
上菜太慢,1562,4
老板人好,1559,4
不太好吃,1558,4
有点辣,1557,3
就在家附近,1557,5
吃的好饱,1556,4
口味独特,1555,4
量很多,1552,3
相当不错,1550,4
价格有点贵,1547,5
推荐大家去,1541,5
东西挺多,1541,4
鱼很新鲜,1539,4
非常赞,1538,3
环境安静,1525,4
多次购买,1523,4
不满意,1520,3
服务超好,1516,4
超喜欢,1515,3
还会光顾的,1513,5
服务也周到,1513,5
有机会再去,1512,5
东西很好,1509,4
很好吃啊,1505,4
环境也还行,1501,5
推荐哦,1499,3
毛肚,1497,2
味道也很棒,1493,5
地方不大,1490,4
来了几次了,1482,5
很正宗,1479,3
感觉还行,1478,4
必须好评,1477,4
干净整洁,1476,4
环境卫生,1471,4
很耐心,1469,3
老板人也好,1468,5
再也不去了,1461,5
不划算,1460,3
不会再来了,1460,5
价格还行,1459,4
态度也好,1457,4
很好哦,1457,3
菜也不错,1456,4
服务也一般,1455,5
比较方便,1451,4
口味非常好,1449,5
儿子很喜欢,1449,5
朋友推荐的,1440,5
好喜欢,1436,3
也不贵,1432,3
菜品味道好,1430,5
很值,1424,2
汤好喝,1422,3
离家也近,1422,4
奶油不腻,1419,4
服务超级好,1413,5
去过很多次,1412,5
其他都很好,1412,5
好看,1411,2
开心,1411,2
以后会常来,1410,5
上菜挺快的,1409,5
蛮不错,1407,3
环境很干净,1407,5
甜而不腻,1404,4
吃了几次了,1403,5
菜好吃,1400,3
还不错啦,1399,4
谢谢老板,1396,4
服务也还行,1396,5
其他还可以,1395,5
值得拥有,1393,4
离家比较近,1393,5
常来,1392,2
太贵了,1386,3
两个人吃,1385,4
习惯好评,1379,4
挺好喝,1379,3
质量好,1375,3
环境也还好,1372,5
很优惠,1371,3
大虾,1371,2
人挺多,1369,3
一个字,1363,3
真的好吃,1361,4
好评好评,1357,4
好吃又实惠,1354,5
东西也好吃,1354,5
就那样,1353,3
第一次来吃,1350,5
满分,1348,2
口味很棒,1348,4
牛排不错,1347,4
去了好几次,1341,5
菜很新鲜,1340,4
食材很新鲜,1337,5
首先,1336,2
常去,1336,2
给个好评,1335,4
吃撑了,1334,3
服务很贴心,1332,5
很好玩,1329,3
很入味,1328,3
好吃啊,1327,3
来很多次了,1326,5
西瓜,1325,2
态度不好,1325,4
位置不错,1325,4
蛋挞,1324,2
三文鱼刺身,1323,5
上菜速度慢,1323,5
虾滑,1321,2
第二次去,1317,4
总的来说,1316,4
经常来的,1315,4
扇贝,1314,2
我很满意,1309,4
小贵,1308,2
都没吃完,1306,4
性价比一般,1305,5
速度也很快,1305,5
挺方便,1304,3
其他还行,1302,4
宝宝很喜欢,1297,5
烤鸭,1295,2
味道超级好,1292,5
去了,1291,2
份量少,1291,3
下次还回来,1289,5
下次会再来,1288,5
培根,1288,2
太咸了,1287,3
就是人太多,1287,5
就是有点咸,1286,5
吃的不错,1286,4
嗯嗯,1285,2
味道非常棒,1283,5
菜品精致,1282,4
去过几次,1280,4
非常方便,1280,4
不错的地方,1280,5
百吃不厌,1279,4
团购价划算,1274,5
辛苦了,1272,3
分量十足,1272,4
花很漂亮,1269,4
口味也好,1266,4
鱼很好吃,1264,4
也好吃,1264,3
酸菜鱼,1263,3
真的很棒,1261,4
鸡翅,1260,2
老板,1260,2
菜品很不错,1259,5
周到,1258,2
哈哈哈哈哈,1255,5
忘记拍照了,1253,5
就这样吧,1252,4
会再来的,1252,4
东西也不错,1252,5
环境也一般,1243,5
离得近,1242,3
生蚝,1241,2
不开心,1239,3
值得,1237,2
常客,1234,2
菜品很少,1233,4
给好评,1231,3
太好了,1229,3
味道棒,1228,3
也是醉了,1226,4
价格还可以,1224,5
也很新鲜,1219,4
另外,1216,2
服务很差,1214,4
人比较少,1213,4
口感一般,1211,4
挺便宜,1209,3
羊肉串,1207,3
继续努力,1205,4
味道可口,1204,4
而且,1204,2
宝贝很喜欢,1200,5
吃的很好,1200,4
对了,1197,2
还非常省事,1193,5
谢谢你们,1191,4
不错吧,1190,3
每次必点,1185,4
菜还不错,1185,4
赞赞,1184,2
第三次来了,1181,5
涨价了,1176,3
棒棒棒,1174,3
好的,1173,2
口感也不错,1168,5
菜品有点少,1166,5
差差差,1165,3
环境一流,1163,4
态度非常好,1162,5
总之很满意,1161,5
小蛋糕,1161,3
水果沙拉,1160,4
左右,1159,2
真心推荐,1159,4
还可以啦,1159,4
老店了,1159,3
又便宜,1158,3
麻辣牛肉,1156,4
化妆师,1155,3
去了好多次,1154,5
很周到,1154,3
有机会再来,1153,5
没什么人,1152,4
态度不错,1152,4
值得一吃,1151,4
酸梅汤,1151,3
吃很饱,1149,3
还不错啊,1147,4
经常过来,1147,4
水果很多,1145,4
极力推荐,1145,4
值得来,1143,3
玩的很开心,1143,5
有点腻,1142,3
给力,1142,2
味道都不错,1141,5
菜品也多,1141,4
强烈推荐哦,1140,5
服务员,1140,3
晚上去的,1137,4
土豆,1135,2
不够吃,1134,3
特别实惠,1130,4
服务员热情,1127,5
服务也很棒,1126,5
比较安静,1124,4
料很足,1123,3
摄影师,1122,3
经常去吃的,1122,5
酸奶,1118,2
人套餐,1116,3
就这样,1115,3
技术好,1113,3
海鲜,1112,2
环境幽雅,1112,4
蛋糕很好,1110,4
份量十足,1109,4
味道蛮好的,1106,5
口味一般吧,1106,5
不值,1102,2
蛋糕很不错,1102,5
价格也合适,1101,5
有耐心,1099,3
速度也快,1097,4
口味正宗,1097,4
很嫩,1096,2
味道真不错,1095,5
饮料,1093,2
价格划算,1089,4
很快,1087,2
其他都好,1080,4
值得去吃,1077,4
可以去试试,1077,5
不用等位,1077,4
价格很便宜,1075,5
实惠好吃,1074,4
既能赚积分,1072,5
便宜又好吃,1072,5
一般一般,1071,4
凉菜,1071,2
海鲜新鲜,1070,4
菜量少,1070,3
没什么特色,1069,5
东西一般,1068,4
环境比较好,1065,5
根本吃不完,1063,5
又实惠,1062,3
羊肉,1062,2
真心好吃,1062,4
牛排很好吃,1062,5
价格也合理,1059,5
菜品太少了,1059,5
可以试试,1054,4
吃过很多次,1053,5
菜一般,1051,3
个人吃了,1048,4
够辣,1048,2
服务态度,1048,4
饭菜可口,1047,4
超划算,1047,3
人好多,1046,3
很温馨,1045,3
地方有点小,1045,5
都很好吃,1045,4
菜品不新鲜,1044,5
位置方便,1043,4
都很满意,1043,4
不是很满意,1042,5
味道也挺好,1041,5
人很好,1034,3
停车也方便,1030,5
水果蛋糕,1029,4
都还不错,1028,4
菜品种类多,1027,5
送货及时,1023,4
买了,1018,2
老板也很好,1018,5
以后常来,1017,4
吃了还想吃,1017,5
不会再来,1017,4
挺好玩,1014,3
结果,1014,2
菜品也很多,1014,5
太赞了,1013,3
上菜很慢,1012,4
品种少,1011,3
味道差,1010,3
就是人多,1008,4
服务也到位,1007,5
来过很多次,1006,5
一直很喜欢,1004,5
太辣了,1004,3
服务跟不上,1001,5
女儿很喜欢,999,5
团购实惠,999,4
寿司,994,2
无语了,989,3
鱿鱼,988,2
生意兴隆,987,4
寸的,985,2
位置很好,984,4
超级实惠,984,4
味道超好,980,4
牛排很嫩,978,4
下次不去了,976,5
服务也不好,975,5
上菜太慢了,974,5
去了几次,974,4
烤生蚝,973,3
舒服,971,2
超级满意,970,4
很难吃,969,3
吃了好多次,969,5
就是有点辣,968,5
一般般啦,965,4
味道正,964,3
环境蛮好,964,4
东西很新鲜,963,5
量有点少,960,4
帮朋友买的,960,5
服务满意,959,4
生鱼片,958,3
总体还行吧,957,5
我的最爱,954,4
能吃饱,954,3
服务也还好,954,5
就是有点小,952,5
下次还去吃,950,5
分量多,948,3
不错哟,947,3
两个人吃了,945,5
晚上,944,2
漂亮,944,2
价格略贵,944,4
来好几次了,943,5
多次来了,942,4
吃到撑,942,3
所以,941,2
环境很优雅,941,5
都很不错,938,4
经济又实惠,937,5
下次还来吃,936,5
够吃,935,2
什么都好,934,4
烤五花肉,934,4
鸳鸯锅,933,3
薯条,933,2
价格不便宜,933,5
量也很大,932,4
人有点多,932,4
没有吃完,932,4
太失望了,932,4
东西很不错,931,5
感觉一般般,930,5
菜品分量足,930,5
东西少,929,3
很不错啊,928,4
比较喜欢,928,4
上菜挺快,926,4
价钱实惠,925,4
没有排队,924,4
分量挺足的,924,5
服务蛮好,923,4
超级难吃,923,4
人特别多,922,4
还算不错,922,4
吃过几次,921,4
超棒,920,2
服务也行,918,4
还便宜,916,3
蛋糕很新鲜,916,5
不好意思,915,4
正宗,913,2
真好吃,913,3
推荐购买,913,4
人也很多,911,4
菜也很好吃,911,5
没办法,910,3
专业,908,2
很超值,908,3
量也大,907,3
服务都不错,907,5
太热了,905,3
真好,904,2
高大上,902,3
好好好好,900,4
出品不错,899,4
味道也还好,898,5
服务不行,898,4
个小时,896,3
味道挺不错,895,5
等了好久,895,4
还挺好,894,3
没有推销,893,4
套餐很划算,893,5
环境一般吧,893,5
吃了好几次,892,5
大小合适,892,4
东西多,892,3
还算可以,890,4
东西新鲜,890,4
很认真,889,3
可以吧,889,3
汤很鲜,888,3
就在楼下,888,4
有待提高,887,4
醉了,886,2
期待成品,885,4
口味适中,885,4
个大人,883,3
东西还行,883,4
菜品也很好,883,5
现做的,882,3
分量还可以,882,5
小点心,881,3
推荐大家,881,4
次来了,881,3
米饭,880,2
菜量一般,879,4
总体很满意,878,5
整体还可以,878,5
品种齐全,876,4
太划算了,876,4
好吃哦,875,3
好评吧,874,3
等了,874,2
偏贵,873,2
都吃不完,873,4
也很划算,872,4
朋友介绍的,871,5
菜色不错,871,4
菜品好吃,870,4
羊肉卷,868,3
值得一来,868,4
蛮好,867,2
个人吃的,867,4
继续加油,867,4
不是很喜欢,864,5
环境舒服,862,4
不值这个价,861,5
服务太差了,861,5
不用等,861,3
花很新鲜,860,4
值得尝试,859,4
挺新鲜,859,3
又好吃,857,3
量也可以,857,4
然后,857,2
总体一般,856,4
上菜比较慢,856,5
价格高,856,3
经常来吃的,855,5
特别推荐,852,4
太甜了,852,3
推荐去,851,3
非常漂亮,848,4
也很干净,847,4
味美,847,2
喜欢喜欢,846,4
服务都很好,846,5
吃得饱饱的,845,5
味道也行,844,4
位置有点偏,844,5
凑合吧,844,3
服务很满意,844,5
人吃,843,2
菜也好吃,843,4
下次还回去,842,5
刚刚好,842,3
烤肉,842,2
手艺娴熟,841,4
太实惠了,841,4
刺身,840,2
味道还好吧,838,5
团了,838,2
非常推荐,837,4
性价比低,834,4
羊排,834,2
服务员少,834,4
有点小失望,833,5
经常去买,833,4
菜还行,833,3
也挺好吃,832,4
特别划算,830,4
去了两次,829,4
生菜,829,2
味道也不好,828,5
评价晚了,828,4
满意满意,828,4
不油腻,828,3
味道不错啊,827,5
菜品挺好,825,4
味道特别棒,824,5
又来了,824,3
环境很安静,824,5
分量很多,824,4
无需排队,823,4
味道一级棒,823,5
分量一般,823,4
口味也可以,819,5
菜品比较少,819,5
挺好找,818,3
孩子爱吃,818,4
环境高大上,815,5
下次还会买,813,5
够味,813,2
爱理不理,812,4
望改进,810,3
品种不多,810,4
吃得很开心,810,5
菜品比较多,809,5
不是很好,808,4
最后,807,2
螃蟹,807,2
下次还买,806,4
店家很热情,805,5
美美的,804,3
口味清淡,804,4
分量大,804,3
真的很一般,801,5
上菜比较快,800,5
手法好,800,3
太一般了,799,4
口味还行吧,799,5
很辣,798,2
非常美味,798,4
就是贵了点,797,5
感觉,797,2
服务员太少,797,5
味道也很赞,796,5
量也多,796,3
态度特别好,795,5
菜量还可以,794,5
比较干净,794,4
会再去,793,3
团购便宜,792,4
店面不错,792,4
真心不好吃,791,5
位置便利,791,4
就是有点热,791,5
不多说,789,3
家门口,788,3
好好好好好,788,5
还是可以,788,4
美团,787,2
值得推荐哦,784,5
其次,784,2
中规中矩,783,4
石锅拌饭,783,4
太坑了,783,3
菜挺多,783,3
地方小,783,3
很精致,777,3
量还可以,777,4
挺实惠的,776,4
热情周到,775,4
南瓜粥,775,3
来了好多次,775,5
东西不多,775,4
态度一般,774,4
啦啦啦,774,3
价格稍贵,774,4
要排队,773,3
每次都来,773,4
环境整洁,772,4
服务又好,772,4
肉很多,770,3
服务员很好,770,5
入口即化,769,4
价格很优惠,769,5
离单位近,769,4
在家附近,768,4
细心,768,2
来好多次了,768,5
其他还不错,766,5
哈根达斯,765,4
地理位置好,765,5
吃的还可以,765,5
服务贴心,765,4
小时,764,2
态度差,764,3
非常好喝,764,4
谢谢店家,763,4
比较新鲜,761,4
服务很一般,760,5
料足,758,2
吃的很满意,758,5
菜多,756,2
黄焖鸡米饭,755,5
不说了,755,3
吃得好饱,755,4
感觉还行吧,754,5
菜品也可以,754,5
味美价廉,753,4
老顾客啦,753,4
环境很舒服,753,5
好次,753,2
味道杠杠的,751,5
其他一般,751,4
口感还不错,751,5
菲力牛排,751,4
牛羊肉,750,3
家门口的店,750,5
菜品很好吃,750,5
鱼肉,748,2
略贵,748,2
有点热,747,3
好吃又便宜,747,5
没有,746,2
蛋糕还不错,746,5
很亲切,745,3
烤羊排,745,3
菜少,744,2
经常来买,743,4
拍的很好,742,4
妈妈很喜欢,742,5
好久没吃了,742,5
团购很便宜,741,5
个人吃不完,741,5
多次了,741,3
不是很甜,740,4
鸭肠,739,2
还送货上门,739,5
服务也热情,739,5
环境也行,738,4
值得分享,736,4
肉很嫩,735,3
非常热情,735,4
还贵,734,2
态度挺好,732,4
比较清淡,731,4
口味佳,729,3
来了,729,2
离公司近,729,4
菜品口味好,729,5
经常购买,728,4
给赞,728,2
去了两次了,727,5
很差,727,2
美味可口,726,4
菜品可口,726,4
难吃死了,722,4
老客户,722,3
好玩,722,2
号和,722,2
吃的很撑,722,4
美团很划算,721,5
就是太辣了,721,5
不实惠,721,3
中午去吃的,720,5
会再去的,720,4
环境不太好,720,5
三个人,719,3
太喜欢了,719,4
不辣,719,2
虾饺,718,2
家人很喜欢,718,5
还算可以吧,718,5
还可以哦,717,4
两个人吃的,717,5
量也很多,716,4
很给力,716,3
火锅,716,2
适合聚餐,715,4
好吃不腻,714,4
好找,714,2
很棒哦,714,3
效果很满意,713,5
老婆很喜欢,713,5
微辣,711,2
环境也不好,711,5
来了好几次,711,5
量太少,711,3
第一次买,710,4
有待改进,709,4
还好啦,709,3
不错的体验,709,5
便宜好吃,709,4
推荐大家来,708,5
甜点,708,2
可以推荐,708,4
巴适,708,2
适合聚会,707,4
超实惠,706,3
分量有点少,706,5
整体还行,705,4
不太喜欢,705,4
去过两次了,704,5
环境也很棒,704,5
快捷,703,2
店不大,703,3
提拉米苏,702,4
下次继续来,701,5
味道很好哦,701,5
位置不好找,700,5
感觉非常好,700,5
菜挺好吃,700,4
耐心,699,2
份量小,699,3
小孩很喜欢,698,5
也不错,696,3
还是老味道,696,5
也很漂亮,693,4
货真价实,693,4
牛排好吃,692,4
披萨很好吃,692,5
口感也很好,692,5
奶油也不腻,691,5
不好喝,691,3
味道没得说,690,5
量挺大的,690,4
花甲,690,2
很鲜,690,2
帮朋友团的,690,5
便宜又实惠,690,5
实惠又好吃,689,5
很感谢,689,3
很好很不错,689,5
海鲜不新鲜,689,5
吃不饱,689,3
也不用排队,688,5
食物新鲜,688,4
团购很优惠,688,5
品种也多,687,4
太小了,687,3
价格亲民,686,4
大力推荐,685,4
菜味不错,684,4
非常专业,684,4
有点遗憾,683,4
很可爱,683,3
披萨,682,2
就是太贵了,682,5
菜新鲜,682,3
非常的好,682,4
